Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-38025 36 91.44 41.6 2797.6 6.38 33.65 20.61 4.71 14.18
DS11-38026 33 83.82 40 2690 6.49 33.25 20.35 4.77 16.28
DS11-38028 35 88.9 43.1 2898.48 6.37 32.46 20.37 4.87 14.5
DS11-38030 34 86.36 46.8 3147.3 6.48 34.01 20.02 4.75 13.38
DS11-38032 36 91.44 47.1 3167.48 6.46 32.64 20.66 4.78 15.33
DS11-38033 33 83.82 31.9 2145.28 6.38 33.93 20.02 4.77 14.64
DS11-38034 31 78.74 36.1 2427.73 6.52 35.01 19.5 4.67 11.74
DS11-38035 39 99.06 48.9 3288.53 6.44 32.7 20.45 4.79 16.97
DS11-38036 36 91.44 38.3 2575.68 6.48 34.18 19.92 4.72 13.75
DS11-38037 37 93.98 46.9 3154.03 6.52 33.78 20.36 4.69 16.28
DS11-38038 33 83.82 37.2 2501.7 6.44 32.73 20.27 4.82 13.32
DS11-38040 38 96.52 34 2286.5 6.31 33.22 20.18 4.85 12.17
LG04-6000 33 83.82 55.7 3745.83 6.35 32.08 19.21 5.05 13.72
DS11-39128 33 83.82 48.8 3281.8 6.48 31.31 20.35 4.93 15.73
DS11-39130 38 96.52 45.2 3039.7 6.26 30.51 20.57 5.04 13.81
DS11-39131 34 86.36 49.1 3301.98 6.3 31.01 20.84 4.92 16.74
DS11-39132 36 91.44 46.2 3106.95 6.27 30.96 20.11 5.05 13.52
DS11-39134 33 83.82 48.5 3261.63 6.22 31.95 20.49 4.94 13.47
DS11-39135 30 76.2 51.2 3443.2 6.32 30.25 21.26 4.91 16.14
DS11-39136 34 86.36 45.4 3053.15 6.25 31.99 19.97 5 13.47
DS11-39140 36 91.44 54.4 3658.4 6.14 29.64 21.24 5.04 14.87
DS11-39141 28 71.12 40.7 2737.08 6.21 31.69 20.45 4.95 14.99
DS11-39144 40 101.6 51 3429.75 6.7 32.91 20.01 4.79 15.71
DS11-39146 37 93.98 55.5 3732.38 6.24 31.79 20.53 4.86 15.59
DS11-39148 34 86.36 50.3 3382.68 6.13 29.94 21.15 5.01 14.21
DS11-39149 34 86.36 61.9 4162.78 6.18 30.61 19.98 5.09 15.28
DS11-39150 32 81.28 55.5 3732.38 6.04 31.66 20.14 4.98 16.19
DS11-39152 34 86.36 58.9 3961.03 5.96 29.1 20.68 5.18 15.3
DS11-39154 34 86.36 54.8 3685.3 6.02 30.28 20.29 5.07 16.19
DS11-39155 26 66.04 42.3 2844.68 6.05 32.64 20.65 4.81 15.36
DS11-39157 32 81.28 42.6 2864.85 6.7 31.39 20.45 4.87 16.88
DS11-39159 32 81.28 53.5 3597.88 6.83 29.9 21.01 4.91 16.02
DS11-39162 32 81.28 44.2 2972.45 6.76 32.47 20.41 4.83 14.99
DS11-39163 33 83.82 44 2959 6.82 32.15 20.07 4.91 14.27
DS11-39164 36 91.44 47.5 3194.38 6.88 32.41 19.52 4.99 12.6
DS11-39165 34 86.36 50.6 3402.85 6.89 30.93 20.56 4.97 15.02
DS11-39166 36 91.44 56.9 3826.53 6.92 32.19 20.46 4.79 17.03
PI398881 30 76.2 45.8 3080.05 6.55 30.51 20.96 4.96 13.64
DS11-40003 32 81.28 29.2 1963.7 6.46 30.29 21.48 4.94 12.32
DS11-40004 29 73.66 33.3 2239.43 6.29 28.43 21.67 5.07 12.89
DS11-40007 30 76.2 32 2152 6.19 28.72 20.65 5.25 12.17
DS11-40015 31 78.74 28.9 1943.53 6.32 29.84 21.54 4.99 14.24
DS11-40016 29 73.66 33.2 2232.7 6.48 29.13 21.28 5.07 14.7
DS11-40020 21 53.34 24.6 1654.35 6.52 29.21 21.67 4.96 12.86
DS11-40028 31 78.74 31.5 2118.38 6.35 27.8 21.61 5.14 12
DS11-40047 32 81.28 37.7 2535.33 6.43 29.81 21.64 4.95 14.7
DS11-40049 27 68.58 32.7 2199.08 7.11 32.12 20.93 4.83 13.72
DS11-40055 33 83.82 42.1 2831.23 6.44 27.79 21.84 5.09 14.13
DS11-40062 28 71.12 29.4 1977.15 6.42 30.12 20.93 5.03 12.6
DS11-40071 39 99.06 37.8 2542.05 6.42 33.82 20.05 4.78 13.38
DS11-40072 32 81.28 31.8 2138.55 6.36 34.39 20.1 4.72 15.76
DS11-40073 32 81.28 25.2 1694.7 6.19 32.56 21.06 4.77 14.76
DS11-40074 33 83.82 28.3 1903.18 6.36 32.91 19.96 4.93 12.43
DS11-40081 40 101.6 38 2555.5 6.4 35.07 20.02 4.62 14.96
DS11-40083 37 93.98 35.7 2400.83 6.25 32.6 20.46 4.87 12.55
DS11-40087 39 99.06 36.8 2474.8 6.32 34.14 19.79 4.77 15.96
DS11-40088 43 109.22 35.7 2400.83 6.5 34.44 19.74 4.73 14.82
DS11-40089 38 96.52 42 2824.5 6.14 32.88 19.92 4.92 13.81
DS11-40094 38 96.52 37.8 2542.05 6.06 31.74 21.82 4.74 13.12
DS11-40095 36 91.44 35 2353.75 6.2 33.88 19.95 4.79 14.18
DS11-40098 38 96.52 41.3 2777.43 6.26 32.94 20.54 4.77 14.07
DS11-40099 38 96.52 32.4 2178.9 6.04 34.35 20.34 4.69 15.62
DS11-40102 41 104.14 40.9 2750.53 6.29 33.97 19.67 4.79 14.47
DS11-40103 33 83.82 38.6 2595.85 6.13 34.82 20.56 4.59 14.44
DS11-40104 36 91.44 33.6 2259.6 5.99 32.84 20.01 4.97 12.55
DS11-40097 36 91.44 36.7 2468.08 6.45 33.14 20.77 4.75 14.87
DS11-40106 41 104.14 44.3 2979.18 6.75 33.49 20.16 4.77 14.07
DS11-40113 39 99.06 32.8 2205.8 6.91 34.76 19.52 4.72 13.47
DS11-40116 38 96.52 35 2353.75 6.83 34.52 19.62 4.75 14.04
DS11-40119 44 111.76 38.6 2595.85 6.71 31 20.79 4.94 12.6
DS11-40121 38 96.52 41.6 2797.6 6.83 34.29 19.97 4.71 13.21
DS11-40122 34 86.36 36.2 2434.45 7 35.39 19.53 4.65 13.5
DS11-40123 39 99.06 32.1 2158.73 6.9 35.08 19.64 4.68 14.44
PI427136 34 86.36 46.7 3140.58 6.77 35.1 19.69 4.66 16.05
DS11-41030 37 93.98 45.7 3073.33 6.78 35.92 19.93 4.53 15.73
DS11-41037 37 93.98 46.9 3154.03 6.62 33.73 20.19 4.78 14.87
DS11-41122 40 101.6 43.1 2898.48 6.64 33.89 20.01 4.78 13.58
DS11-41011 34 86.36 33.4 2246.15 6.53 31.91 20.98 4.82 15.07
DS11-41126 38 96.52 41.6 2797.6 6.62 34.29 20.23 4.69 14.59
DS11-41129 34 86.36 37.1 2494.98 6.55 34.57 19.62 4.77 14.33
DS11-41134 39 99.06 44.2 2972.45 6.59 34.91 20.52 4.56 18.26
DS11-41135 40 101.6 46.1 3100.23 6.41 33.94 20.04 4.77 12.98
DS11-41136 40 101.6 39.3 2642.93 6.36 32.31 20.75 4.8 13.21
DS11-41137 39 99.06 38 2555.5 6.34 32.97 20.39 4.83 14.24
DS11-41139 42 106.68 45.2 3039.7 6.3 32.96 20.21 4.82 14.96
DS11-41140 38 96.52 39.5 2656.38 6.09 33.66 20.16 4.84 15.96
DS11-41141 42 106.68 37.4 2515.15 6.1 32.71 20.8 4.83 13.32
DS11-41142 45 114.3 35.1 2360.48 5.9 32.6 20.38 4.93 15.07
DS11-41143 37 93.98 44.4 2985.9 6.8 34.9 19.78 4.68 15.79
DS11-41144 40 101.6 42.2 2837.95 6.76 32.99 20.29 4.79 16.08
DS11-41145 38 96.52 39.4 2649.65 6.89 34.91 19.04 4.78 13.27
DS11-41146 36 91.44 38.3 2575.68 6.93 32.8 20.2 4.85 13.04
DS11-41147 45 114.3 46.1 3100.23 6.91 33.22 20.46 4.81 13.72
DS11-41148 34 86.36 38.7 2602.58 6.94 32.93 19.77 4.85 14.7
DS11-41149 33 83.82 36.2 2434.45 6.92 33.03 19.78 4.92 12.58
DS11-41150 36 91.44 52.2 3510.45 7.08 34.57 19.66 4.73 14.82
DS11-41151 38 96.52 39.5 2656.38 7.21 34.28 19.91 4.67 14.39
PI437169B 33 83.82 49.7 3342.33 6.51 35.3 20.12 4.58 17.47
DS11-42042 28 71.12 31.6 2125.1 6.78 34.78 20.62 4.61 19.19
DS11-42043 45 114.3 39.2 2636.2 6.36 32.66 20.91 4.78 17.31
DS11-42047 22 55.88 33.2 2232.7 6.43 32.86 20.96 4.71 14.7
DS11-42051 35 88.9 39.1 2629.48 6.64 35.05 19.27 4.74 15.07
DS11-42052 29 73.66 43.7 2938.83 6.41 32.19 20.85 4.82 16.62
DS11-42054 36 91.44 42.2 2837.95 6.4 34.17 19.94 4.79 13.52
DS11-42055 37 93.98 37.5 2521.88 6.34 33.64 20.33 4.77 15.48
DS11-42058 42 106.68 29.3 1970.43 6.23 33.13 21.04 4.69 17.17
DS11-42059 33 83.82 30.7 2064.58 6.66 34.48 20.1 4.67 15.91
DS11-42024 44 111.76 45.9 3086.78 6.23 33.63 21.1 4.64 15.22
DS11-42068 32 81.28 15.3 1028.93 6.17 34.35 20.69 4.64 15.59
DS11-42071 29 73.66 34 2286.5 5.98 33.81 20.79 4.74 12.4
DS11-42072 37 93.98 55.8 3752.55 6.72 32.35 20.66 4.84 16.91
DS11-42081 29 73.66 28.7 1930.08 6.89 33.28 21.03 4.69 14.96
DS11-42084 29 73.66 39.5 2656.38 6.88 35.88 20.29 4.48 17.51
DS11-42085 44 111.76 52.9 3557.53 6.53 31.28 21.34 4.83 16.71
DS11-42086 34 86.36 32.9 2212.53 6.83 32.79 19.66 5.01 12.95
DS11-42087 27 68.58 17.3 1163.43 6.54 35 20.93 4.52 14.44
DS11-42088 33 83.82 27.8 1869.55 6.91 35.27 20.08 4.61 17.23
DS11-42091 42 106.68 36.9 2481.53 6.5 34.67 20.08 4.68 16.37
DS11-42096 26 66.04 21.5 1445.88 6.26 35.13 21.25 4.46 16.74
DS11-42103 27 68.58 20.1 1351.73 6.81 37.17 20.19 4.35 20.24
DS11-42107 24 60.96 26.8 1802.3 7.45 35.41 20.89 4.49 19.64
DS11-42109 44 111.76 35.1 2360.48 6.93 33.56 19.76 4.82 18.26
DS11-42005 45 114.3 33.4 2246.15 6.86 33.71 20.36 4.71 16.42
DS11-42122 37 93.98 28.9 1943.53 7.3 36.43 19.21 4.56 18.63
DS11-42124 32 81.28 29 1950.25 6.83 35.85 19.56 4.61 13.04
PI518751 38 96.52 64.6 4344.35 6.57 31.49 20.67 4.87 14.1
DS11-48083 32 81.28 35 2353.75 6.65 32.56 20.71 4.83 13.47
DS11-48084 33 83.82 32.7 2199.08 6.47 33.01 20.73 4.78 14.39
DS11-48085 32 81.28 34.2 2299.95 6.95 33.22 20.4 4.75 15.48
DS11-48098 28 71.12 28.8 1936.8 7.03 31.68 21.55 4.69 16.22
DS11-48099 27 68.58 34.9 2347.03 6.76 32.55 20.95 4.71 13.78
DS11-48100 24 60.96 23.8 1600.55 6.74 34.06 21.21 4.57 13.06
DS11-48102 24 60.96 38.2 2568.95 6.84 33.76 19.78 4.76 13.9
DS11-48107 21 53.34 28 1883 6.66 31.3 22.08 4.69 13.15
DS11-48108 28 71.12 33.4 2246.15 6.79 34.85 20.4 4.57 15.28
DS11-48110 32 81.28 32.7 2199.08 6.77 32.79 20.45 4.77 14.39
DS11-48120 23 58.42 29.7 1997.33 6.78 33.9 20.98 4.61 14.41
DS11-48122 28 71.12 22.2 1492.95 6.69 33.54 20.49 4.71 13.52
DS11-48126 28 71.12 43.3 2911.93 6.61 33.21 20.72 4.72 15.28
DS11-48127 30 76.2 40.2 2703.45 6.4 32.86 20.46 4.83 13.95
DS11-48128 27 68.58 31.2 2098.2 6.25 34 20.82 4.64 15.42
DS11-48132 22 55.88 31.8 2138.55 6.61 34.59 20.78 4.57 13.47
DS11-48134 23 58.42 31.6 2125.1 6.53 34.75 20.57 4.6 11.66
DS11-48135 31 78.74 36.5 2454.63 6.68 34.98 19.29 4.72 13.04
DS11-48136 21 53.34 27.9 1876.28 6.62 32.27 21.05 4.77 15.73
DS11-48137 25 63.5 28.4 1909.9 6.46 33.67 21.32 4.59 14.36
DS11-48144 21 53.34 19.1 1284.48 6.58 33.15 20.08 4.84 11.49
DS11-48147 29 73.66 35.8 2407.55 6.56 34.66 20.4 4.61 15.05
DS11-48153 23 58.42 34.9 2347.03 6.44 33 21.31 4.64 16.6
DS11-48154 24 60.96 26.5 1782.13 6.34 33.3 21.85 4.6 15.25
DS11-48155 24 60.96 24.3 1634.18 6.4 32.12 20.75 4.89 12.66
DS11-48158 31 78.74 26.4 1775.4 6.3 32.89 20.27 4.83 12.52
DS11-48160 21 53.34 23.9 1607.28 6.23 33.3 21.11 4.72 13.64
DS11-48113 25 63.5 22.4 1506.4 6.38 32.7 20.73 4.8 12.35
DS11-48165 27 68.58 32.3 2172.18 6.21 34.53 21.06 4.55 13.21
DS11-48168 31 78.74 28.2 1896.45 6.25 33.3 20.09 4.93 11.28
DS11-48169 27 68.58 36.6 2461.35 6.15 32.83 21.42 4.68 16.94
DS11-48170 28 71.12 31.2 2098.2 6.25 33.63 21.04 4.62 14.76
DS11-48174 27 68.58 38 2555.5 6.24 34.53 20.49 4.61 14.93
PI561370 32 81.28 52.4 3523.9 6.62 35.42 19.83 4.61 16.8
DS11-50050 21 53.34 22.9 1540.03 6.74 36.94 19.27 4.5 14.44
DS11-50143 27 68.58 25.1 1687.98 6.59 32.91 21.06 4.72 13.75
DS11-50144 25 63.5 32.2 2165.45 6.61 34.83 20.48 4.59 16.74
DS11-50145 26 66.04 29.4 1977.15 6.66 33.9 20.54 4.67 16.08
DS11-50151 20 50.8 13.1 880.98 6.59 35.1 20.37 4.57 16.14
DS11-50153 25 63.5 35.3 2373.93 6.5 33.1 20.77 4.75 17.57
DS11-50156 29 73.66 32.2 2165.45 6.37 32.81 21.28 4.73 15.42
DS11-50158 33 83.82 30.6 2057.85 6.74 33.34 20.78 4.7 15.85
DS11-50159 22 55.88 26.2 1761.95 6.43 35.11 21.19 4.47 19.28
DS11-50160 28 71.12 38.2 2568.95 6.35 34.5 20.72 4.63 14.64
DS11-50163 34 86.36 37.5 2521.88 6.29 31.28 21.08 4.91 16.62
DS11-50164 28 71.12 34.8 2340.3 6.24 29.86 21.85 4.88 15.36
DS11-50165 24 60.96 27.5 1849.38 6.24 34.43 20.78 4.6 15.68
DS11-50166 28 71.12 35 2353.75 6.57 37.27 19.69 4.47 21.66
DS11-50176 25 63.5 22.9 1540.03 6.74 32.06 21.15 4.81 15.76
DS11-50185 26 66.04 36.1 2427.73 6.91 34.97 20.74 4.52 17.6
DS11-50190 30 76.2 32.3 2172.18 7.07 34.88 19.88 4.67 13.44
DS11-50193 30 76.2 31.1 2091.48 6.86 36.08 19.87 4.52 18.58
DS11-50200 32 81.28 30 2017.5 6.56 32.94 20.92 4.74 13.64
DS11-50202 29 73.66 30.6 2057.85 6.54 34.31 20.79 4.61 16.77
DS11-50211 28 71.12 26 1748.5 6.6 34.81 20.31 4.6 16.05
DS11-50219 28 71.12 26.8 1802.3 6.37 32.91 21 4.78 13.75
DS11-50234 26 66.04 22.8 1533.3 6.27 33.5 20.56 4.75 15.76
DS11-50246 25 63.5 29.1 1956.98 6.5 35.78 19.99 4.54 17.14
DS11-50259 25 63.5 17.6 1183.6 6.59 35.57 20.23 4.55 14.07
DS11-50267 27 68.58 23.7 1593.83 6.91 37.34 19.45 4.39 15.07
DS11-50295 28 71.12 24.7 1661.08 6.75 33.31 20.72 4.73 15.76
DS11-50301 28 71.12 27.5 1849.38 6.89 32.84 21.08 4.75 14.59
DS11-50308 30 76.2 30.4 2044.4 6.91 33.78 20.27 4.73 14.47
DS11-50316 28 71.12 18.1 1217.23 6.86 34.22 20.94 4.58 15.96
DS11-50320 25 63.5 20.9 1405.53 6.88 36.49 20.3 4.42 16.74
DS11-50321 29 73.66 16.5 1109.63 6.7 34.71 20.78 4.58 16.4
DS11-50322 27 68.58 22 1479.5 6.91 34.83 20.49 4.58 14.96
PI404188A 34 86.36 47.5 3194.38 6.48 33.49 20.15 4.83 13.01
DS11-54004 37 93.98 40.2 2703.45 6.56 33.5 20.05 4.85 13.12
DS11-54005 43 109.22 43.1 2898.48 6.39 33.51 20.24 4.78 15.22
DS11-54006 32 81.28 35.9 2414.28 6.25 32.61 20.39 4.87 15.42
DS11-54007 38 96.52 41.6 2797.6 6.24 33.08 20.08 4.89 12.95
DS11-54008 38 96.52 45.5 3059.88 6.21 32.97 20.1 4.84 14.79
DS11-54009 35 88.9 46.5 3127.13 6.53 35.24 19.74 4.66 15.3
DS11-54010 38 96.52 38.1 2562.23 6.53 31.69 20.53 4.92 13.32
DS11-54011 34 86.36 39.1 2629.48 6.54 32.27 20.19 4.95 13.72
DS11-54012 37 93.98 36.7 2468.08 6.5 32.13 20.6 4.91 13.9
DS11-54013 35 88.9 36.1 2427.73 6.57 33.72 20.3 4.75 15.5
DS11-54014 37 93.98 37.6 2528.6 6.55 32.65 20.34 4.89 12.98
DS11-54015 36 91.44 43.6 2932.1 6.58 32.99 20.56 4.76 17.93
DS11-54016 33 83.82 30.9 2078.03 6.61 32.09 20.45 4.89 14.67
DS11-54017 37 93.98 55 3698.75 6.48 31.56 20.95 4.87 14.73
DS11-54020 40 101.6 42.7 2871.58 6.54 33.57 19.99 4.79 14.18
DS11-54021 38 96.52 45.5 3059.88 6.62 31.19 20.88 4.91 16.02
DS11-54022 40 101.6 39.7 2669.83 6.55 33.89 19.04 4.9 13.47
DS11-54023 37 93.98 38.9 2616.03 6.62 32.31 20.42 4.86 14.87
DS11-54024 37 93.98 37.8 2542.05 6.6 31.65 20.38 5 12.26
DS11-54026 36 91.44 42.9 2885.03 6.89 32.28 20.16 4.9 12.52
DS11-54035 38 96.52 39.3 2642.93 6.43 32.73 19.7 4.94 12.63
DS11-54036 42 106.68 42.8 2878.3 6.12 32.15 20.89 4.82 17.66
DS11-54038 37 93.98 36 2421 6.41 32.54 20.65 4.79 13.58
DS11-54044 32 81.28 41.2 2770.7 6.66 32.04 20.32 4.93 14.87
DS11-54047 40 101.6 43.2 2905.2 6.86 33.69 19.97 4.78 14.21
DS11-54048 36 91.44 46.7 3140.58 6.79 34.15 19.53 4.79 12.95
DS11-54050 32 81.28 29.2 1963.7 6.82 32.68 19.73 4.96 10.8
DS11-54057 33 83.82 34.1 2293.23 6.88 35.03 18.5 4.78 12.72
DS11-54060 31 78.74 39.1 2629.48 6.63 34.34 18.9 4.83 16.97
DS11-54064 35 88.9 44.6 2999.35 6.68 32.52 20.24 4.85 15.25
DS11-54065 35 88.9 40 2690 6.6 34.37 19.32 4.76 14.04
DS11-54066 39 99.06 42.5 2858.13 6.64 35.12 19.59 4.68 16.14
DS11-54067 42 106.68 40.7 2737.08 6.57 32.23 19.82 4.97 14.07
DS11-54073 33 83.82 37 2488.25 6.37 32.28 21.02 4.78 12.83
PI574486 29 73.66 51.8 3483.55 7.17 30.13 20.7 4.95 19.67
DS11-64061 30 76.2 35.7 2400.83 6.84 29.47 21.86 4.9 18.09
DS11-64064 33 83.82 40.2 2703.45 6.9 29.48 21.78 4.93 18.86
DS11-64066 30 76.2 30 2017.5 6.86 30.78 21.06 4.94 17.34
DS11-64070 37 93.98 43.3 2911.93 6.91 29.78 21.04 5.01 15.99
DS11-64073 30 76.2 35.7 2400.83 6.64 28.93 22.28 4.92 16.54
DS11-64081 31 78.74 35.5 2387.38 7.07 29.59 21.37 4.95 18.4
DS11-64084 27 68.58 35.2 2367.2 6.98 31.04 21.81 4.81 16.8
DS11-64091 29 73.66 39.5 2656.38 7.35 28.62 21.74 4.98 14.9
DS11-64095 32 81.28 40.8 2743.8 7.09 30.94 21.56 4.81 18.32
DS11-64099 27 68.58 32.2 2165.45 7.12 29.64 21.95 4.87 17.97
DS11-64103 28 71.12 36.6 2461.35 7.11 30.41 21.08 4.92 17.54
DS11-64104 25 63.5 21.4 1439.15 7.04 30.9 21.9 4.8 16.14
DS11-64115 31 78.74 31.4 2111.65 7.13 30.2 21.47 4.9 16.42
DS11-64131 32 81.28 36.5 2454.63 6.46 30.49 22.2 4.75 18.95
DS11-64132 33 83.82 35.4 2380.65 6.65 33.68 19.93 4.81 16.19
DS11-64005 40 101.6 41.3 2777.43 6.71 30.25 20.81 5.06 16.8
DS11-64136 23 58.42 15.3 1028.93 6.66 32.02 21.38 4.75 16.85
DS11-64138 29 73.66 31.6 2125.1 6.84 32.2 20.88 4.79 15.73
DS11-64139 28 71.12 28.1 1889.73 6.73 29.97 21.6 4.9 16.02
DS11-64140 22 55.88 17.8 1197.05 6.72 31.43 21.42 4.78 16.88
DS11-64144 34 86.36 40.9 2750.53 6.66 30.76 21.06 4.95 16.71
DS11-64148 28 71.12 34.8 2340.3 6.79 31.21 21.25 4.86 18.98
DS11-64150 33 83.82 35 2353.75 7.07 31.26 21.46 4.8 15.79
DS11-64158 29 73.66 33.6 2259.6 6.7 31.07 21.61 4.76 17.8
DS11-64161 23 58.42 31.1 2091.48 6.67 30 21.86 4.83 17.57
DS11-64162 28 71.12 34.3 2306.68 6.62 31.88 21.25 4.72 21.36
DS11-64163 32 81.28 37.8 2542.05 6.67 31.02 21.32 4.89 16.51
DS11-64165 29 73.66 41.9 2817.78 6.68 31.71 20.85 4.82 19.18
DS11-64167 32 81.28 34.7 2333.58 6.41 29.74 22.36 4.8 15.36
DS11-64169 26 66.04 23.9 1607.28 6.69 33.69 20.48 4.72 16.02
DS11-64171 33 83.82 40.3 2710.18 6.85 29.86 21.49 4.88 18.66
DS11-64172 25 63.5 26.5 1782.13 6.3 31.89 22.02 4.72 17.51
DS11-64174 28 71.12 34.4 2313.4 6.57 32.51 20.72 4.79 19.41
DS11-64175 31 78.74 33.6 2259.6 6.26 32.82 21.32 4.72 17.97
