Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-12006 32 81.28 45.3 3046.43 6.15 32.07 21.28 4.79 13.52
DS11-12008 31 78.74 42.9 2885.03 6.19 30.24 21.52 4.94 13.7
DS11-12013 37 93.98 49.5 3328.88 6.3 32.06 20.85 4.91 11.6
DS11-12014 43 109.22 61.7 4149.33 6.86 30.99 21.23 4.86 15.91
DS11-12015 33 83.82 46.8 3147.3 6.29 33.21 21.07 4.71 13.98
DS11-12019 39 99.06 57.4 3860.15 6.29 30.58 21.38 4.95 12.78
DS11-12020 32 81.28 48 3228 6.36 31.92 20.91 4.82 16.62
DS11-12023 36 91.44 54.9 3692.03 6.26 30.65 21.22 4.94 13.67
DS11-12025 38 96.52 51.8 3483.55 6.29 30.81 21.44 4.93 11.86
DS11-12027 35 88.9 50.3 3382.68 6.23 30.99 21.57 4.88 15.02
DS11-12029 36 91.44 49.5 3328.88 6.23 31.75 20.93 4.87 11.92
DS11-12030 37 93.98 45.5 3059.88 6.3 32.84 20.78 4.79 13.78
DS11-12032 35 88.9 47.5 3194.38 6.04 31.85 21.71 4.78 14.47
DS11-12033 31 78.74 53.3 3584.43 6.21 32.38 20.81 4.82 14.39
DS11-12034 33 83.82 50.1 3369.23 6.24 33.17 21.57 4.65 13.78
DS11-12036 36 91.44 48 3228 6.49 32.34 20.64 4.84 13.09
DS11-12038 39 99.06 51.9 3490.28 6.56 32.53 21.78 4.63 14.13
DS11-12041 32 81.28 53.3 3584.43 6.45 32.25 21.09 4.82 14.84
DS11-12045 25 63.5 32.1 2158.73 6.84 31.56 21.54 4.81 13.06
DS11-12049 25 63.5 37.5 2521.88 6.65 29.64 21.7 4.96 13.27
DS11-12050 21 53.34 23.3 1566.93 6.84 32.09 21.4 4.76 13.9
DS11-12054 30 76.2 44.1 2965.73 6.68 32.08 20.94 4.83 14.01
DS11-12058 24 60.96 40.9 2750.53 6.6 31.83 21.29 4.81 12.75
DS11-12065 29 73.66 43.2 2905.2 6.45 32.33 20.93 4.79 15.99
